total,amt1,amt2
24.39,16.29,8.1
24.57,10,14.57
24.58,24.58,0
24.66,24.66,0
24.67,24.67,0
24.88,24.88,0
24.94,24.94,0
24.96,20.03,4.93
24.96,24.96,0
25.01,25.01,0
25.12,25.12,0
25.2,22.2,3
25.28,21.24,4.04
25.29,2.5,22.79
25.4,12.9,12.5
25.51,25.51,0
25.54,25.54,0
25.54,25.54,0
25.59,4.09,21.5
25.68,25.68,0
25.83,25.83,0
25.83,25.83,0
25.86,25.86,0
25.9,25.9,0
26.01,26.01,0
26.09,21.09,5
26.2,26.2,0
26.2,26.2,0
26.33,6.57,19.76
26.38,26.38,0
26.48,26.48,0
26.55,19.55,7
26.59,26.59,0
26.66,26.66,0
26.73,15.56,11.17
26.73,26.73,0
27.18,27.18,0
27.46,21.11,6.35
27.57,21.57,6
27.57,21.57,6
27.66,27.66,0
27.68,18.68,9
27.7,27.7,0
27.7,27.7,0
27.74,27.74,0
27.74,27.74,0
27.84,23.46,4.38
28,28,0
28,28,0
28.09,28.09,0
28.12,7,21.12
28.22,14,14.22
28.22,28.22,0
28.29,28.29,0
28.31,28.31,0
28.31,28.31,0
28.34,17.34,11
28.55,18.95,9.6
28.56,28.56,0
28.6,28.57,0.03
28.67,28.67,0
28.7,25.75,2.95
28.74,28.74,0
28.75,28.75,0
28.77,28.77,0
28.84,28.84,0
28.92,28.92,0
28.99,28.99,0
29.03,23.03,6
29.21,29.21,0
29.26,29.26,0
29.35,29.35,0
29.35,29.35,0
29.36,29.36,0
29.54,29.54,0
29.54,29.54,0
29.54,29.54,0
29.68,29.68,0
29.69,29.69,0
29.71,29.71,0
29.71,29.71,0
29.81,29.81,0
29.87,29.87,0
29.89,29.89,0
29.94,29.94,0
30,30,0
30.07,30.07,0
30.08,30.08,0
30.12,30.12,0
30.22,30.22,0
30.28,30.28,0
30.32,30.32,0
30.36,30.36,0
30.63,30.63,0
30.65,30.65,0
30.66,30.29,0.37
30.66,30.66,0
30.66,30.66,0
30.88,30.88,0
30.9,30.9,0
30.97,30.97,0
31,31,0
31.27,25.41,5.86
31.27,31.27,0
31.3,14.3,17
31.31,31.31,0
31.41,5.24,26.17
31.45,31.45,0
31.49,31.49,0
31.51,31.51,0
31.55,31.55,0
31.58,31.58,0
31.61,31.61,0
31.69,31.69,0
31.75,31.75,0
31.83,31.83,0
31.86,31.86,0
31.88,31.88,0
31.91,11.99,19.92
31.96,31.96,0
32.47,32.47,0
32.48,32.48,0
32.53,32.53,0
