total,amt1,amt2
626.45,590.45,36
626.47,626.47,0
626.47,626.47,0
626.52,620.52,6
626.56,593.56,33
626.59,626.59,0
626.72,582.41,44.31
626.75,626.75,0
626.82,626.82,0
626.83,609.63,17.2
626.9,602.9,24
626.9,626.9,0
626.97,626.97,0
627.03,627.03,0
627.03,627.03,0
627.07,627.07,0
627.09,627.09,0
627.09,627.09,0
627.09,627.09,0
627.12,561.27,65.85
627.13,626.13,1
627.16,608.16,19
627.23,621.23,6
627.23,627.23,0
627.41,627.41,0
627.46,627.46,0
627.55,493.43,134.12
627.55,627.55,0
627.57,578.25,49.32
627.6,618.94,8.66
627.65,517.65,110
627.66,627.66,0
627.71,627.71,0
627.93,627.93,0
627.97,623.94,4.03
628.03,614.03,14
628.1,628.1,0
628.11,493.11,135
628.14,628.14,0
628.27,628.27,0
628.35,628.35,0
628.35,628.35,0
628.47,628.47,0
628.51,628.51,0
628.51,628.51,0
628.52,597.93,30.59
628.53,619.06,9.47
628.59,594.98,33.61
628.64,619.2,9.44
628.67,628.67,0
628.68,628.68,0
628.69,500.02,128.67
628.77,628.77,0
628.78,628.63,0.15
628.8,628.8,0
628.82,628.82,0
628.86,590.89,37.97
628.97,622.52,6.45
629.14,629.14,0
629.28,587.18,42.1
629.28,598.86,30.42
629.32,629.32,0
629.42,629.42,0
629.44,629.44,0
629.45,629.45,0
629.47,629.47,0
629.48,590.48,39
629.5,629.5,0
629.57,545.57,84
629.64,601.8,27.84
629.64,629.64,0
629.72,629.72,0
629.74,590.05,39.69
629.75,624.73,5.02
629.83,629.83,0
629.85,629.85,0
629.91,629.91,0
629.97,625.97,4
630,630,0
630.03,630.03,0
630.04,562.81,67.23
630.12,628.12,2
630.36,619.25,11.11
630.36,630.36,0
630.37,630.37,0
630.49,591.31,39.18
630.56,625.53,5.03
630.62,630.62,0
630.68,568.63,62.05
630.68,630.68,0
630.77,630.77,0
630.82,630.82,0
630.84,630.84,0
630.93,630.93,0
630.95,612.95,18
630.98,630.98,0
631,631,0
631.01,631.01,0
631.03,631.03,0
631.09,504.6,126.49
631.13,631.13,0
631.14,589.64,41.5
631.2,557.97,73.23
631.22,615.22,16
631.24,631.24,0
631.26,612.26,19
631.28,631.28,0
631.3,588.8,42.5
631.3,623.07,8.23
631.38,601.38,30
631.4,631.4,0
631.42,628.77,2.65
631.42,631.42,0
631.44,584.19,47.25
631.45,631.45,0
631.46,593.52,37.94
631.48,631.48,0
631.51,622.95,8.56
631.59,631.59,0
631.59,631.59,0
631.74,628.74,3
631.76,631.76,0
631.78,421.25,210.53
631.83,631.83,0
631.91,622.91,9
631.91,631.91,0
631.92,631.92,0
631.98,573.95,58.03
631.99,631.99,0
632.02,617.4,14.62
632.02,629.02,3
632.04,625.04,7
632.04,632.04,0
632.09,632.09,0
632.13,632.13,0
632.21,632.21,0
632.22,584.92,47.3
632.3,632.3,0
632.48,632.48,0
632.49,616.92,15.57
632.5,632.5,0
632.55,610.77,21.78
632.6,632.6,0
632.64,448.31,184.33
632.64,618.17,14.47
632.66,632.66,0
632.77,602.59,30.18
632.84,632.84,0
632.89,632.89,0
632.93,632.93,0
632.94,167.94,465
632.97,610.74,22.23
633.04,548.56,84.48
633.06,633.06,0
633.09,559.89,73.2
633.1,591.28,41.82
633.13,564.18,68.95
633.28,633.28,0
633.29,633.29,0
633.34,627.99,5.35
633.42,605.79,27.63
633.44,633.44,0
633.46,594.46,39
633.57,403.56,230.01
633.58,633.58,0
633.59,633.47,0.12
633.6,592.16,41.44
633.6,622.6,11
633.63,565.63,68
633.69,626.1,7.59
633.7,633.7,0
633.7,633.7,0
633.73,633.73,0
633.76,633.76,0
633.81,587.81,46
633.82,633.82,0
633.87,633.87,0
633.9,633.9,0
633.91,633.91,0
634,618.62,15.38
634,634,0
634.02,634.02,0
634.06,511.06,123
634.06,623.48,10.58
634.07,632.66,1.41
634.11,634.11,0
634.12,619.12,15
634.18,634.18,0
634.24,629.56,4.68
634.28,401.78,232.5
634.29,634.29,0
634.29,634.29,0
634.38,598.38,36
634.4,626.03,8.37
634.4,626.03,8.37
634.42,634.42,0
634.47,634.47,0
634.52,634.38,0.14
634.54,634.54,0
634.55,631.76,2.79
634.55,634.55,0
634.61,580.26,54.35
634.61,634.61,0
634.62,627.08,7.54
634.64,515.87,118.77
634.65,634.65,0
634.7,634.7,0
634.71,634.71,0
634.74,591.63,43.11
634.76,634.76,0
634.79,634.79,0
634.84,634.84,0
634.85,634.85,0
634.89,613.17,21.72
635.02,604.02,31
635.02,635.02,0
635.04,601.54,33.5
635.1,635.1,0
635.27,635.27,0
635.31,635.31,0
635.36,623.02,12.34
635.44,635.44,0
635.47,635.47,0
635.56,635.56,0
635.6,635.6,0
635.62,634.71,0.91
635.67,626.67,9
635.67,627.33,8.34
635.67,635.67,0
635.73,635.73,0
635.77,635.77,0
636.02,636.02,0
636.11,636.11,0
636.13,636.13,0
636.22,623.06,13.16
636.23,390.23,246
636.27,636.27,0
636.3,636.3,0
636.38,636.38,0
636.41,603.41,33
636.44,632.44,4
636.46,636.46,0
636.46,636.46,0
636.47,537.47,99
636.58,636.58,0
636.59,636.59,0
636.63,531.44,105.19
636.63,636.63,0
636.71,624.18,12.53
636.72,636.72,0
636.74,579.74,57
636.74,636.74,0
636.75,636.75,0
636.76,636.76,0
636.78,636.78,0
636.86,636.86,0
636.9,636.9,0
636.95,620.37,16.58
637.13,637.13,0
637.14,637.14,0
637.14,637.14,0
637.16,637.16,0
637.25,607.43,29.82
637.32,637.32,0
637.33,637.33,0
637.47,637.47,0
637.49,608.49,29
637.55,637.55,0
637.56,616.56,21
637.56,616.56,21
637.56,637.56,0
637.57,637.57,0
637.64,637.64,0
637.71,573.4,64.31
637.72,637.72,0
637.73,605.72,32.01
637.75,637.75,0
637.76,579.36,58.4
637.81,637.81,0
638,618,20
638.02,638.02,0
638.04,638.04,0
638.1,550.45,87.65
638.12,638.12,0
638.13,638.13,0
638.15,638.15,0
638.22,632.22,6
638.22,638.22,0
638.23,638.23,0
638.29,638.29,0
638.32,638.32,0
638.37,409.33,229.04
638.44,638.44,0
638.48,575.48,63
638.57,611.77,26.8
638.57,638.57,0
638.6,525.6,113
638.69,638.69,0
638.76,635.76,3
638.77,604.45,34.32
638.82,629.83,8.99
638.9,607.53,31.37
638.9,638.9,0
638.93,635.78,3.15
639.01,639.01,0
639.06,639.06,0
639.07,639.07,0
639.11,639.1,0.01
639.11,639.11,0
639.19,639.19,0
639.2,527.87,111.33
639.4,639.4,0
639.5,639.5,0
639.53,639.53,0
639.54,639.54,0
639.57,554.49,85.08
639.6,639.6,0
639.62,566.19,73.43
639.71,639.71,0
639.72,101.07,538.65
639.78,637.5,2.28
639.79,639.79,0
639.8,595.4,44.4
639.83,639.83,0
639.89,639.89,0
639.96,618.76,21.2
639.97,610.11,29.86
639.98,601.98,38
639.99,639.99,0
640.02,640.02,0
640.08,547.03,93.05
640.1,639.1,1
640.1,639.1,1
640.14,457.14,183
640.15,640.15,0
640.26,635.44,4.82
640.27,608.27,32
640.27,640.27,0
640.28,640.28,0
640.3,640.3,0
640.33,640.33,0
640.38,640.38,0
640.49,640.49,0
640.53,523.53,117
640.57,556.11,84.46
640.62,640.62,0
640.62,640.62,0
640.63,547,93.63
640.64,602.09,38.55
640.75,520.54,120.21
640.75,614.75,26
640.84,640.84,0
640.87,640.87,0
640.89,640.89,0
640.91,640.91,0
640.92,640.92,0
640.95,640.95,0
640.97,549.53,91.44
640.98,524.98,116
641.01,628.01,13
641.01,628.01,13
641.11,641.11,0
641.2,641.2,0
641.25,604.48,36.77
641.28,443.28,198
641.31,641.31,0
641.4,641.4,0
641.41,641.41,0
641.43,636.93,4.5
641.51,641.51,0
641.54,629.14,12.4
641.61,640.12,1.49
641.61,641.61,0
641.63,641.63,0
641.83,639.73,2.1
641.86,641.86,0
641.9,604.9,37
641.99,641.99,0
642.07,634.07,8
642.1,615.1,27
642.2,635.86,6.34
642.2,642.2,0
642.21,642.21,0
642.23,597.65,44.58
642.31,517.31,125
642.36,642.36,0
642.36,642.36,0
642.39,642.39,0
642.44,642.44,0
642.47,622.56,19.91
642.56,642.56,0
642.6,311.47,331.13
642.61,642.61,0
642.61,642.61,0
642.65,642.65,0
642.71,642.71,0
642.82,642.82,0
642.87,611.21,31.66
643.03,591.35,51.68
643.05,643.05,0
643.06,638.31,4.75
643.1,643.1,0
643.11,643.11,0
643.13,600.13,43
643.17,583.22,59.95
643.18,643.18,0
643.2,643,0.2
643.36,643.36,0
643.4,643.4,0
643.41,643.41,0
643.41,643.41,0
643.44,640.77,2.67
643.44,643.44,0
643.45,600.15,43.3
643.47,615.66,27.81
643.47,643.47,0
643.57,643.57,0
643.58,610.72,32.86
643.63,643.63,0
643.64,643.64,0
643.65,643.65,0
643.68,643.68,0
643.86,643.86,0
643.88,643.88,0
643.94,643.94,0
643.96,614.96,29
644.08,643.33,0.75
644.09,549.46,94.63
644.11,539.11,105
644.15,633.49,10.66
644.26,632.59,11.67
644.27,644.27,0
644.29,644.29,0
644.37,622.77,21.6
644.38,644.38,0
644.54,631.34,13.2
644.59,614.09,30.5
644.62,644.62,0
644.63,618.63,26
644.63,621.26,23.37
644.73,644.73,0
644.74,600.86,43.88
644.75,640.09,4.66
644.76,644.76,0
644.8,637.6,7.2
644.84,644.84,0
644.88,644.88,0
644.93,161.97,482.96
644.99,644.99,0
645,597.35,47.65
645.21,632.29,12.92
645.22,626.6,18.62
645.22,645.22,0
645.3,637.95,7.35
645.3,645.3,0
645.36,645.36,0
645.37,635.47,9.9
645.37,645.37,0
645.38,634.06,11.32
645.4,606.4,39
645.5,645.5,0
645.63,642.63,3
645.65,645.65,0
645.67,565.59,80.08
645.72,645.72,0
645.74,568.34,77.4
645.74,645.74,0
645.79,514.15,131.64
645.81,616.26,29.55
645.86,645.86,0
645.9,645.9,0
645.92,645.92,0
645.93,645.93,0
645.95,645.95,0
646.02,625.03,20.99
646.02,625.03,20.99
646.03,646.03,0
646.05,639.05,7
646.06,596.92,49.14
646.12,646.12,0
646.19,646.19,0
646.26,296.26,350
646.45,643.45,3
646.45,646.45,0
646.57,642.03,4.54
646.57,642.03,4.54
646.61,595.37,51.24
646.68,633.89,12.79
646.68,633.89,12.79
646.78,646.78,0
646.85,634.85,12
646.86,632.59,14.27
646.91,646.91,0
646.94,646.94,0
646.97,644.06,2.91
646.99,646.99,0
647.06,647.06,0
647.14,644.7,2.44
647.22,623.22,24
647.22,623.22,24
647.25,575.8,71.45
647.25,584.46,62.79
647.3,647.3,0
647.36,647.36,0
647.4,647.06,0.34
647.5,647.5,0
647.51,647.51,0
647.51,647.51,0
647.52,647.52,0
647.54,641.54,6
647.57,647.57,0
647.59,647.59,0
647.63,647.63,0
647.66,609.66,38
647.7,647.65,0.05
647.81,647.81,0
647.84,618.41,29.43
647.86,647.86,0
647.86,647.86,0
648,633.54,14.46
648.01,648.01,0
648.07,648.07,0
648.11,648.11,0
648.12,648.12,0
648.15,563.22,84.93
648.15,563.22,84.93
648.2,648.2,0
648.22,648.22,0
648.25,540.5,107.75
648.28,648.28,0
648.3,618.26,30.04
648.35,424.35,224
648.35,648.35,0
648.39,225.39,423
648.4,648.4,0
648.8,648.8,0
648.81,647.86,0.95
648.85,624.33,24.52
648.93,648.93,0
648.98,648.98,0
648.98,648.98,0
649.05,649.05,0
649.08,562.08,87
649.1,649.1,0
649.11,646.11,3
649.22,649.22,0
649.23,649.23,0
649.33,538.63,110.7
649.33,587.32,62.01
649.33,625.33,24
649.4,649.4,0
649.4,649.4,0
649.46,649.46,0
649.47,621.47,28
649.49,649.49,0
649.52,649.52,0
649.55,649.55,0
649.56,630.33,19.23
649.58,649.58,0
649.59,649.59,0
649.59,649.59,0
649.67,611.17,38.5
649.68,649.68,0
649.75,649.75,0
649.75,649.75,0
649.76,556.76,93
649.8,649.8,0
649.88,649.88,0
649.88,649.88,0
649.89,643.57,6.32
649.9,644.65,5.25
649.92,647.92,2
649.96,649.96,0
649.97,649.97,0
649.98,647.53,2.45
649.99,594.32,55.67
650,627.23,22.77
650.04,650.04,0
650.16,650.16,0
650.2,650.2,0
650.24,619.24,31
650.26,347.26,303
650.26,347.26,303
650.26,482.26,168
650.31,621.72,28.59
650.36,650.36,0
650.49,650.49,0
650.54,650.54,0
650.67,604.27,46.4
650.7,650.7,0
650.78,611.78,39
650.78,650.78,0
650.83,650.83,0
650.84,650.84,0
650.84,650.84,0
650.89,650.89,0
650.92,508.06,142.86
650.92,508.06,142.86
650.98,650.98,0
651,651,0
651.05,651.05,0
651.09,651.09,0
651.27,651.27,0
651.3,651.3,0
651.37,575.87,75.5
651.37,623.37,28
651.4,631.4,20
651.41,651.41,0
651.42,651.42,0
651.42,651.42,0
651.51,639.51,12
651.53,651.53,0
651.6,616.13,35.47
651.65,651.65,0
651.73,651.63,0.1
651.78,651.78,0
651.88,547.8,104.08
651.89,603.92,47.97
651.9,586.05,65.85
651.95,651.95,0
651.97,651.97,0
652.05,650.09,1.96
652.06,630.88,21.18
652.06,652.06,0
652.09,652.09,0
652.1,652.1,0
652.1,652.1,0
652.1,652.1,0
652.11,652.11,0
652.12,619.12,33
652.12,652.12,0
652.18,652.18,0
652.18,652.18,0
652.19,646.19,6
652.2,652.2,0
652.2,652.2,0
652.24,397.62,254.62
652.32,652.32,0
652.35,589.35,63
652.37,644.37,8
652.46,649.46,3
652.55,652.55,0
652.59,652.59,0
652.66,652.66,0
652.66,652.66,0
652.7,652.7,0
652.84,652.84,0
652.87,652.87,0
652.89,488.17,164.72
652.93,652.93,0
652.98,616.7,36.28
652.98,652.98,0
653.06,653.06,0
653.06,653.06,0
653.08,653.08,0
653.29,653.29,0
653.3,649.45,3.85
653.38,607.38,46
653.39,596.56,56.83
653.5,653.5,0
653.5,653.5,0
653.5,653.5,0
653.52,642.52,11
653.58,641.58,12
653.62,653.62,0
653.67,614.55,39.12
653.71,653.71,0
653.74,653.74,0
653.75,653.75,0
653.77,382.71,271.06
653.81,653.81,0
653.82,653.82,0
653.84,653.84,0
653.86,653.86,0
653.92,653.92,0
654.09,654.09,0
654.23,618.02,36.21
654.29,654.29,0
654.34,654.34,0
654.42,654.42,0
654.44,636.4,18.04
654.44,654.44,0
654.48,636.47,18.01
654.49,654.49,0
654.56,654.56,0
654.68,654.68,0
654.75,654.75,0
654.76,654.76,0
654.92,435.36,219.56
654.93,314.61,340.32
654.99,631.54,23.45
655.07,617.01,38.06
655.13,655.13,0
655.17,655.17,0
655.25,586.21,69.04
655.29,655.29,0
655.31,436.31,219
655.32,652.32,3
655.34,590.84,64.5
655.43,655.43,0
655.44,655.44,0
655.48,514.48,141
655.65,655.65,0
655.66,625.66,30
655.68,617.18,38.5
655.69,651.92,3.77
655.69,655.69,0
655.73,655.73,0
655.86,655.86,0
656,656,0
656,656,0
656.02,656.02,0
656.1,656.1,0
656.13,655.13,1
656.14,656.14,0
656.15,656.15,0
656.16,656.16,0
656.25,656.25,0
656.25,656.25,0
656.31,656.31,0
656.32,656.32,0
656.57,614.23,42.34
656.7,601.2,55.5
656.72,639.13,17.59
656.76,470.76,186
656.79,656.79,0
656.97,656.97,0
657.03,397.96,259.07
657.06,600.86,56.2
657.09,657.09,0
657.11,597.11,60
657.14,657.14,0
657.16,630.16,27
657.31,628.31,29
657.31,657.31,0
657.34,657.34,0
657.46,655.88,1.58
657.5,548.65,108.85
657.5,592.62,64.88
657.51,657.51,0
657.53,657.53,0
657.55,636.45,21.1
657.58,590.08,67.5
657.64,649.64,8
657.65,621.28,36.37
657.71,626.71,31
657.74,657.74,0
657.77,657.77,0
657.8,657.8,0
657.81,654.81,3
657.81,657.81,0
657.87,651.87,6
657.98,596.93,61.05
657.98,657.98,0
657.99,657.99,0
658,626.51,31.49
658.09,657.09,1
658.23,658.23,0
658.26,658.26,0
658.36,656.35,2.01
658.47,658.47,0
658.56,658.56,0
658.62,653.28,5.34
658.73,575.64,83.09
658.74,658.74,0
658.75,601.25,57.5
658.84,658.84,0
658.96,631.27,27.69
658.96,658.96,0
659.01,600.53,58.48
659.05,566.05,93
659.07,644.67,14.4
659.08,563.08,96
659.08,597.51,61.57
659.08,659.08,0
659.09,659.09,0
659.1,648.63,10.47
659.13,659.13,0
659.13,659.13,0
659.15,659.15,0
659.16,659.16,0
659.28,659.28,0
659.3,659.3,0
659.31,659.31,0
659.45,654.45,5
659.52,620.52,39
659.54,659.54,0
659.54,659.54,0
659.56,659.56,0
659.6,659.6,0
659.63,659.63,0
659.77,659.77,0
659.79,659.79,0
659.83,641.83,18
659.86,659.86,0
659.91,623.81,36.1
659.93,614.97,44.96
659.98,644.84,15.14
659.99,584.99,75
660,660,0
660.06,660.06,0
660.09,501.22,158.87
660.21,660.21,0
660.22,635.4,24.82
660.24,660.24,0
660.4,608.66,51.74
660.5,626.5,34
660.59,650.91,9.68
660.59,651.59,9
660.62,641.7,18.92
660.65,645.65,15
660.67,613.98,46.69
660.67,660.67,0
660.68,659.68,1
660.74,571.84,88.9
660.77,660.77,0
660.8,660.8,0
660.93,641.93,19
661.14,607.72,53.42
661.16,642.95,18.21
661.27,568.27,93
661.35,661.35,0
661.4,661.4,0
661.44,649.54,11.9
661.48,661.48,0
661.54,578.96,82.58
661.7,661.7,0
661.75,661.75,0
661.77,661.77,0
661.8,634.8,27
661.83,627.33,34.5
661.83,661.83,0
661.94,658.68,3.26
662,599,63
662.01,655.92,6.09
662.01,662.01,0
662.12,647.12,15
662.14,596.57,65.57
662.25,634.1,28.15
662.26,660.91,1.35
662.29,662.29,0
662.31,650.31,12
662.34,636.84,25.5
662.44,662.44,0
662.54,662.54,0
662.58,588.34,74.24
662.59,662.59,0
662.65,649.79,12.86
662.77,548.06,114.71
662.93,651.95,10.98
662.99,662.99,0
663.02,663.02,0
663.04,663.04,0
663.06,663.06,0
663.13,663.13,0
663.13,663.13,0
663.14,650.4,12.74
663.19,547.44,115.75
663.21,613.21,50
663.25,662.41,0.84
663.26,663.26,0
663.29,560.29,103
663.32,663.32,0
663.32,663.32,0
663.48,663.48,0
663.49,663.49,0
663.53,526.03,137.5
663.56,652.56,11
663.6,637.6,26
663.63,663.63,0
663.64,657.69,5.95
663.72,534.72,129
663.72,663.72,0
663.73,663.73,0
663.77,620.73,43.04
663.79,639.79,24
663.81,660.46,3.35
663.81,663.81,0
663.81,663.81,0
663.81,663.81,0
663.84,663.84,0
663.85,612.85,51
663.93,663.93,0
664.09,649.89,14.2
664.22,565.22,99
664.22,565.22,99
664.22,565.22,99
664.22,664.22,0
664.22,664.22,0
664.29,664.29,0
664.32,618.32,46
664.32,664.32,0
664.33,664.33,0
664.44,658.45,5.99
664.46,664.46,0
664.53,626.04,38.49
664.55,642.83,21.72
664.57,636.57,28
664.59,583.98,80.61
664.6,631.6,33
664.6,664.6,0
664.65,664.65,0
664.67,654.67,10
664.72,637.22,27.5
664.88,631.88,33
664.92,643.26,21.66
664.92,664.92,0
664.95,607.95,57
665,429.73,235.27
665.14,637.14,28
665.18,665.18,0
665.34,608.95,56.39
665.35,625.35,40
665.36,631.36,34
665.36,660.46,4.9
665.48,665.48,0
665.52,655.33,10.19
665.53,646.11,19.42
665.56,496.23,169.33
665.59,665.59,0
665.6,651.89,13.71
665.63,665.63,0
665.63,665.63,0
665.68,659.68,6
665.69,665.69,0
665.85,665.85,0
665.86,665.86,0
665.93,665.93,0
665.93,665.93,0
666,631.47,34.53
666.02,666.02,0
666.05,653.99,12.06
666.07,661.51,4.56
666.07,661.51,4.56
666.1,664.62,1.48
666.1,666.1,0
666.17,483.88,182.29
666.18,666.18,0
666.19,666.19,0
666.22,666.22,0
666.25,616.05,50.2
666.26,666.26,0
666.28,666.28,0
666.29,617.07,49.22
666.31,643,23.31
666.32,660.32,6
666.47,660.47,6
666.51,664.51,2
666.69,666.69,0
666.76,642.41,24.35
666.76,666.76,0
666.77,660.86,5.91
666.79,620.79,46
666.86,666.86,0
666.9,666.9,0
666.92,666.92,0
666.95,666.95,0
667.09,657.09,10
667.11,613.11,54
667.14,666.14,1
667.15,650.63,16.52
667.16,667.16,0
667.28,667.28,0
667.3,581.1,86.2
667.44,667.44,0
667.51,667.51,0
667.52,667.52,0
667.53,662.77,4.76
667.59,667.59,0
667.62,667.62,0
667.66,631.02,36.64
667.66,667.66,0
667.68,667.68,0
667.76,443.76,224
667.76,667.76,0
667.77,666.56,1.21
667.79,667.79,0
667.93,667.93,0
667.96,598.96,69
668.03,668.03,0
668.05,665.05,3
668.1,668.1,0
668.11,667.66,0.45
668.15,668.15,0
668.2,527,141.2
668.22,668.22,0
668.44,668.44,0
668.54,668.54,0
668.55,668.55,0
668.57,630.75,37.82
668.58,659.58,9
668.59,668.59,0
668.62,626.62,42
668.62,668.62,0
668.68,668.68,0
668.72,668.72,0
668.74,668.74,0
668.75,658.15,10.6
668.76,668.76,0
668.77,620.77,48
668.79,657.85,10.94
668.82,668.82,0
668.88,638.88,30
668.96,655,13.96
668.97,639.97,29
668.97,668.97,0
668.97,668.97,0
669.09,575.57,93.52
669.1,669.1,0
669.16,669.16,0
669.19,669.19,0
669.19,669.19,0
669.25,669.25,0
669.31,669.31,0
669.34,640.29,29.05
669.36,669.36,0
669.37,669.37,0
669.41,669.41,0
669.42,669.42,0
669.46,583.46,86
669.49,669.49,0
669.52,621.52,48
669.53,669.53,0
669.73,669.73,0
669.76,669.76,0
669.79,648.05,21.74
669.81,659.81,10
669.86,669.86,0
669.9,669.9,0
669.96,669.96,0
669.97,669.97,0
670,670,0
670.07,670.07,0
670.1,670.1,0
670.11,670.11,0
670.15,655.15,15
670.15,670.15,0
670.16,473.06,197.1
670.17,670.17,0
670.21,670.21,0
670.21,670.21,0
670.27,670.27,0
670.3,670.3,0
670.33,655.98,14.35
670.4,670.4,0
670.42,619.42,51
670.44,645.44,25
670.57,649.41,21.16
670.57,670.57,0
670.61,650.61,20
670.62,670.62,0
670.62,670.62,0
670.64,606.64,64
670.7,664.68,6.02
670.72,670.72,0
670.77,670.77,0
670.83,670.83,0
670.89,633.89,37
671.04,671.04,0
671.06,671.06,0
671.12,671.12,0
671.19,671.19,0
671.25,668.25,3
671.37,250.53,420.84
671.39,671.39,0
671.42,656.36,15.06
671.48,612.48,59
671.49,669.79,1.7
671.56,671.56,0
671.62,578.77,92.85
671.66,671.66,0
671.73,671.71,0.02
671.74,638.74,33
671.76,671.76,0
671.77,671.77,0
671.79,671.79,0
671.82,671.82,0
671.88,671.88,0
671.95,671.95,0
672.02,613.02,59
672.02,668.92,3.1
672.02,672.02,0
672.04,672.04,0
672.15,672.15,0
672.25,665.25,7
672.3,636.3,36
672.31,671.31,1
672.31,672.31,0
672.32,661.07,11.25
672.36,672.36,0
672.38,672.38,0
672.43,655.09,17.34
672.43,655.09,17.34
672.47,604.47,68
672.55,672.55,0
672.55,672.55,0
672.56,595.56,77
672.6,662.4,10.2
672.65,672.65,0
672.75,672.75,0
672.76,665.46,7.3
672.76,669.76,3
672.83,672.83,0
672.86,666.48,6.38
672.87,672.87,0
672.94,672.94,0
672.98,667.8,5.18
672.98,667.8,5.18
673.02,673.02,0
673.2,673.2,0
673.3,673.3,0
673.31,670.4,2.91
673.36,673.36,0
673.43,673.43,0
673.56,673.56,0
673.59,673.1,0.49
673.59,673.59,0
673.62,673.62,0
673.63,658.51,15.12
673.7,673.7,0
673.74,515.91,157.83
673.92,648.92,25
673.96,614.66,59.3
673.97,673.97,0
674.07,674.07,0
674.13,642.59,31.54
674.13,659.13,15
674.13,663.43,10.7
674.27,674.27,0
674.39,673.89,0.5
674.4,674.4,0
674.41,674.41,0
674.48,546.89,127.59
674.53,638.53,36
674.54,674.54,0
674.56,667.56,7
674.58,673.87,0.71
674.65,654.02,20.63
674.65,674.65,0
674.93,616.38,58.55
674.99,674.99,0
675.01,628.37,46.64
675.09,673.99,1.1
675.11,675.11,0
675.2,675.2,0
675.2,675.2,0
675.24,658.24,17
675.43,675.43,0
675.55,642.37,33.18
675.61,675.61,0
675.69,671.44,4.25
675.72,652.29,23.43
675.78,675.78,0
675.78,675.78,0
675.8,583.38,92.42
675.8,583.38,92.42
675.83,675.83,0
675.84,671.36,4.48
675.84,671.36,4.48
675.88,658.84,17.04
675.88,675.88,0
675.97,675.97,0
676.02,571.02,105
676.09,673.09,3
676.09,673.09,3
676.11,676.11,0
676.14,665.39,10.75
676.15,676.15,0
676.17,676.17,0
676.21,676.21,0
676.22,676.22,0
676.24,664.24,12
676.29,638.29,38
676.35,676.35,0
676.35,676.35,0
676.37,600.05,76.32
676.41,675.3,1.11
676.46,676.46,0
676.61,676.61,0
676.74,659.19,17.55
676.78,676.78,0
676.87,676.87,0
676.88,549.74,127.14
676.92,669.92,7
676.92,676.92,0
677.01,677.01,0
677.07,637.33,39.74
677.08,312.48,364.6
677.08,677.08,0
677.12,600.15,76.97
677.12,677.12,0
677.15,675.46,1.69
677.15,677.15,0
677.22,677.22,0
677.28,677.28,0
677.36,495.96,181.4
677.37,677.37,0
677.38,677.38,0
677.42,419.42,258
677.43,658.57,18.86
677.43,658.57,18.86
677.46,677.46,0
677.47,677.47,0
677.57,672.48,5.09
677.58,677.58,0
677.59,677.59,0
677.64,585.64,92
677.67,677.67,0
677.68,677.68,0
677.68,677.68,0
677.83,643.97,33.86
677.9,638.25,39.65
677.93,638.4,39.53
677.93,674.69,3.24
677.96,670.79,7.17
678.11,605.11,73
678.14,678.14,0
678.17,678.17,0
678.26,678.26,0
678.38,641.01,37.37
678.38,642.77,35.61
678.43,673.91,4.52
678.45,678.45,0
678.47,678.47,0
678.5,678.5,0
678.57,678.57,0
678.58,622.58,56
678.61,678.61,0
678.85,672.85,6
678.85,678.85,0
678.97,630.97,48
678.97,663.22,15.75
678.97,678.97,0
679.07,672.77,6.3
679.28,626.7,52.58
679.32,624.46,54.86
679.34,592.82,86.52
679.37,663.24,16.13
679.39,673.86,5.53
679.43,621.93,57.5
679.47,679.47,0
679.48,679.48,0
679.48,679.48,0
679.48,679.48,0
679.57,532.57,147
679.58,658.56,21.02
679.58,664.48,15.1
679.68,673.68,6
679.83,679.83,0
679.86,679.86,0
679.87,679.87,0
679.91,679.91,0
679.94,668.36,11.58
679.94,679.94,0
679.98,679.98,0
679.99,679.99,0
680.08,641.08,39
680.09,673.05,7.04
680.12,638.31,41.81
680.14,680.14,0
680.19,674.19,6
680.23,667.23,13
680.28,680.28,0
680.3,680.3,0
680.4,680.4,0
680.53,668.53,12
680.54,680.54,0
680.55,680.55,0
680.57,649.57,31
680.73,680.73,0
680.9,551.7,129.2
680.91,607.53,73.38
680.95,675.01,5.94
680.95,675.01,5.94
680.97,680.97,0
681.08,677.6,3.48
681.11,676.2,4.91
681.15,681.15,0
681.18,681.18,0
681.19,681.19,0
681.22,681.22,0
681.3,681.3,0
681.31,676.37,4.94
681.36,675.78,5.58
681.37,681.37,0
681.43,644.5,36.93
681.43,681.43,0
681.44,681.44,0
681.51,681.51,0
681.52,678.44,3.08
681.59,519.59,162
681.6,620.61,60.99
681.65,644.06,37.59
681.69,635.69,46
681.73,681.73,0
681.75,663.05,18.7
681.8,681.8,0
682,682,0
682.05,682.05,0
682.07,682.07,0
682.17,470.97,211.2
682.2,682.2,0
682.24,682.24,0
682.26,682.26,0
682.27,682.27,0
682.29,619.69,62.6
682.35,682.35,0
682.39,658.73,23.66
682.41,637.41,45
682.41,682.41,0
682.49,681.71,0.78
682.55,642.55,40
682.55,664.06,18.49
682.65,661.04,21.61
682.67,644.01,38.66
682.69,682.69,0
682.73,682.73,0
682.75,682.75,0
682.76,682.76,0
682.87,682.87,0
682.95,682.95,0
682.96,655.89,27.07
682.97,615.04,67.93
683.01,612.01,71
683.02,683.02,0
683.09,683.09,0
683.11,680.11,3
